iteration,query,seconds
230,qualified,0.003667
230,unqualified,0.002517
230,ordered,0.005003
231,qualified,0.003360
231,unqualified,0.003702
231,ordered,0.005207
232,qualified,0.003122
232,unqualified,0.003504
232,ordered,0.005040
233,qualified,0.002995
233,unqualified,0.002341
233,ordered,0.005032
234,qualified,0.003148
234,unqualified,0.003933
234,ordered,0.004155
235,qualified,0.003527
235,unqualified,0.002622
235,ordered,0.005521
236,qualified,0.004001
236,unqualified,0.003247
236,ordered,0.006292
237,qualified,0.005485
237,unqualified,0.003780
237,ordered,0.015480
238,qualified,0.003258
238,unqualified,0.003523
238,ordered,0.006142
239,qualified,0.004367
239,unqualified,0.005005
239,ordered,0.004992
240,qualified,0.004668
240,unqualified,0.003590
240,ordered,0.006095
241,qualified,0.004998
241,unqualified,0.004002
241,ordered,0.006703
242,qualified,0.004569
242,unqualified,0.004526
242,ordered,0.009524
243,qualified,0.007453
243,unqualified,0.005000
243,ordered,0.006997
244,qualified,0.004446
244,unqualified,0.004396
244,ordered,0.003523
245,qualified,0.003955
245,unqualified,0.005598
245,ordered,0.006096
246,qualified,0.004589
246,unqualified,0.005253
246,ordered,0.005575
247,qualified,0.003429
247,unqualified,0.005325
247,ordered,0.005524
248,qualified,0.004299
248,unqualified,0.005150
248,ordered,0.014182
249,qualified,0.006077
249,unqualified,0.004641
249,ordered,0.005519
250,qualified,0.005029
250,unqualified,0.004695
250,ordered,0.005491
251,qualified,0.003957
251,unqualified,0.003519
251,ordered,0.004668
252,qualified,0.005720
252,unqualified,0.003141
252,ordered,0.004213
253,qualified,0.003768
253,unqualified,0.006017
253,ordered,0.005264
254,qualified,0.004222
254,unqualified,0.004307
254,ordered,0.007881
255,qualified,0.004964
255,unqualified,0.004200
255,ordered,0.006773
256,qualified,0.003311
256,unqualified,0.003651
256,ordered,0.007520
257,qualified,0.004472
257,unqualified,0.004059
257,ordered,0.004521
258,qualified,0.003003
258,unqualified,0.003998
258,ordered,0.004833
259,qualified,0.002974
259,unqualified,0.003317
259,ordered,0.004683
260,qualified,0.002525
260,unqualified,0.003512
260,ordered,0.007517
261,qualified,0.002518
261,unqualified,0.004006
261,ordered,0.004929
262,qualified,0.002635
262,unqualified,0.003522
262,ordered,0.003996
263,qualified,0.004229
263,unqualified,0.003734
263,ordered,0.004108
264,qualified,0.005348
264,unqualified,0.003954
264,ordered,0.004013
265,qualified,0.003049
265,unqualified,0.004201
265,ordered,0.005178
266,qualified,0.002998
266,unqualified,0.003116
266,ordered,0.004609
267,qualified,0.003996
267,unqualified,0.003606
267,ordered,0.004288
268,qualified,0.003719
268,unqualified,0.003521
268,ordered,0.004706
269,qualified,0.004065
269,unqualified,0.003070
269,ordered,0.004336
270,qualified,0.002517
270,unqualified,0.004008
270,ordered,0.004375
271,qualified,0.003550
271,unqualified,0.003717
271,ordered,0.005795
272,qualified,0.002829
272,unqualified,0.002518
272,ordered,0.005031
273,qualified,0.002569
273,unqualified,0.004090
273,ordered,0.004718
274,qualified,0.003328
274,unqualified,0.003187
274,ordered,0.004632
275,qualified,0.003765
275,unqualified,0.003728
275,ordered,0.003773
276,qualified,0.003994
276,unqualified,0.003999
276,ordered,0.003996
277,qualified,0.003200
277,unqualified,0.006496
277,ordered,0.004803
278,qualified,0.003074
278,unqualified,0.003640
278,ordered,0.004399
279,qualified,0.003520
279,unqualified,0.004358
279,ordered,0.005009
280,qualified,0.003458
280,unqualified,0.002524
280,ordered,0.005006
281,qualified,0.003407
281,unqualified,0.002577
281,ordered,0.004785
282,qualified,0.004144
282,unqualified,0.003868
282,ordered,0.005662
283,qualified,0.002984
283,unqualified,0.003647
283,ordered,0.004329
284,qualified,0.003061
284,unqualified,0.003323
284,ordered,0.004519
285,qualified,0.003000
285,unqualified,0.003000
285,ordered,0.004257
286,qualified,0.003637
286,unqualified,0.004999
286,ordered,0.003763
287,qualified,0.009961
287,unqualified,0.002968
287,ordered,0.003758
288,qualified,0.004744
288,unqualified,0.004493
288,ordered,0.004381
289,qualified,0.003070
289,unqualified,0.004972
289,ordered,0.007619
290,qualified,0.003533
290,unqualified,0.003211
290,ordered,0.004784
291,qualified,0.002834
291,unqualified,0.003633
291,ordered,0.005718
292,qualified,0.002829
292,unqualified,0.003135
292,ordered,0.004403
293,qualified,0.003161
293,unqualified,0.003608
293,ordered,0.004726
294,qualified,0.002537
294,unqualified,0.004535
294,ordered,0.004170
295,qualified,0.002775
295,unqualified,0.003067
295,ordered,0.003527
296,qualified,0.005353
296,unqualified,0.003520
296,ordered,0.005001
297,qualified,0.005317
297,unqualified,0.003876
297,ordered,0.004629
298,qualified,0.003512
298,unqualified,0.002998
298,ordered,0.004909
299,qualified,0.002616
299,unqualified,0.002998
299,ordered,0.005293
300,qualified,0.003170
300,unqualified,0.002950
300,ordered,0.004935
301,qualified,0.003900
301,unqualified,0.003518
301,ordered,0.004184
302,qualified,0.002989
302,unqualified,0.002621
302,ordered,0.004779
303,qualified,0.002523
303,unqualified,0.003736
303,ordered,0.004089
304,qualified,0.003624
304,unqualified,0.005063
304,ordered,0.004913
305,qualified,0.003456
305,unqualified,0.002516
305,ordered,0.005005
306,qualified,0.004993
306,unqualified,0.002965
306,ordered,0.003996
307,qualified,0.003370
307,unqualified,0.002978
307,ordered,0.005633
308,qualified,0.003745
308,unqualified,0.003032
308,ordered,0.004137
309,qualified,0.003808
309,unqualified,0.003832
309,ordered,0.004248
310,qualified,0.003324
310,unqualified,0.002978
310,ordered,0.004590
311,qualified,0.002727
311,unqualified,0.003591
311,ordered,0.006806
312,qualified,0.004526
312,unqualified,0.004245
312,ordered,0.006527
313,qualified,0.004009
313,unqualified,0.004764
313,ordered,0.004218
314,qualified,0.003485
314,unqualified,0.008993
314,ordered,0.006486
315,qualified,0.003672
315,unqualified,0.007189
315,ordered,0.005652
316,qualified,0.003065
316,unqualified,0.005966
316,ordered,0.007438
317,qualified,0.006146
317,unqualified,0.005529
317,ordered,0.004997
318,qualified,0.004029
318,unqualified,0.006522
318,ordered,0.006520
319,qualified,0.007469
319,unqualified,0.005100
319,ordered,0.005649
320,qualified,0.003056
320,unqualified,0.005998
320,ordered,0.006035
321,qualified,0.002842
321,unqualified,0.003527
321,ordered,0.006011
322,qualified,0.003287
322,unqualified,0.003922
322,ordered,0.005532
323,qualified,0.007442
323,unqualified,0.003915
323,ordered,0.005306
324,qualified,0.004234
324,unqualified,0.003874
324,ordered,0.006131
325,qualified,0.006624
325,unqualified,0.003738
325,ordered,0.008506
326,qualified,0.004161
326,unqualified,0.003650
326,ordered,0.007007
327,qualified,0.004485
327,unqualified,0.003960
327,ordered,0.005603
328,qualified,0.003583
328,unqualified,0.003996
328,ordered,0.007007
329,qualified,0.002994
329,unqualified,0.004894
329,ordered,0.004398
330,qualified,0.004934
330,unqualified,0.003610
330,ordered,0.007004
331,qualified,0.003999
331,unqualified,0.004990
331,ordered,0.005461
332,qualified,0.005000
332,unqualified,0.007142
332,ordered,0.005591
333,qualified,0.004074
333,unqualified,0.004007
333,ordered,0.004780
334,qualified,0.003583
334,unqualified,0.002660
334,ordered,0.003797
335,qualified,0.002628
335,unqualified,0.002761
335,ordered,0.003537
336,qualified,0.009762
336,unqualified,0.003071
336,ordered,0.004233
337,qualified,0.003232
337,unqualified,0.002658
337,ordered,0.005479
338,qualified,0.003578
338,unqualified,0.003186
338,ordered,0.004411
339,qualified,0.004203
339,unqualified,0.003456
339,ordered,0.004601
340,qualified,0.002796
340,unqualified,0.003684
340,ordered,0.005463
341,qualified,0.003459
341,unqualified,0.003701
341,ordered,0.004856
342,qualified,0.003523
342,unqualified,0.002998
342,ordered,0.004723
343,qualified,0.003179
343,unqualified,0.003485
343,ordered,0.004536
344,qualified,0.002987
344,unqualified,0.003002
344,ordered,0.004054
345,qualified,0.003253
345,unqualified,0.003163
345,ordered,0.004251
346,qualified,0.003153
346,unqualified,0.003789
346,ordered,0.004549
347,qualified,0.002862
347,unqualified,0.003118
347,ordered,0.004818
348,qualified,0.004767
348,unqualified,0.010703
348,ordered,0.005043
349,qualified,0.002521
349,unqualified,0.003999
349,ordered,0.005264
350,qualified,0.002714
350,unqualified,0.003196
350,ordered,0.003533
351,qualified,0.002996
351,unqualified,0.003001
351,ordered,0.008193
352,qualified,0.003269
352,unqualified,0.003651
352,ordered,0.004010
353,qualified,0.002994
353,unqualified,0.003735
353,ordered,0.003526
354,qualified,0.003961
354,unqualified,0.002384
354,ordered,0.005294
355,qualified,0.003093
355,unqualified,0.002655
355,ordered,0.004467
356,qualified,0.005526
356,unqualified,0.002999
356,ordered,0.004006
357,qualified,0.004646
357,unqualified,0.003797
357,ordered,0.004376
358,qualified,0.003715
358,unqualified,0.003836
358,ordered,0.004673
359,qualified,0.003244
359,unqualified,0.002978
359,ordered,0.005691
360,qualified,0.002631
360,unqualified,0.002996
360,ordered,0.005351
361,qualified,0.003178
361,unqualified,0.003706
361,ordered,0.004055
362,qualified,0.002857
362,unqualified,0.002714
362,ordered,0.005133
363,qualified,0.003858
363,unqualified,0.003451
363,ordered,0.004112
364,qualified,0.003599
364,unqualified,0.004280
364,ordered,0.005274
365,qualified,0.002760
365,unqualified,0.003529
365,ordered,0.004003
366,qualified,0.003426
366,unqualified,0.003536
366,ordered,0.005679
367,qualified,0.003522
367,unqualified,0.003001
367,ordered,0.004794
368,qualified,0.003321
368,unqualified,0.002741
368,ordered,0.004483
369,qualified,0.002895
369,unqualified,0.003524
369,ordered,0.004013
370,qualified,0.002987
370,unqualified,0.002846
370,ordered,0.005369
371,qualified,0.002006
371,unqualified,0.003415
371,ordered,0.004995
372,qualified,0.002667
372,unqualified,0.002773
372,ordered,0.004263
373,qualified,0.004192
373,unqualified,0.003535
373,ordered,0.004502
374,qualified,0.002733
374,unqualified,0.005301
374,ordered,0.004720
375,qualified,0.003485
375,unqualified,0.003114
375,ordered,0.004212
376,qualified,0.003306
376,unqualified,0.003078
376,ordered,0.004856
377,qualified,0.003354
377,unqualified,0.002965
377,ordered,0.004524
378,qualified,0.003995
378,unqualified,0.003081
378,ordered,0.004518
379,qualified,0.010001
379,unqualified,0.003005
379,ordered,0.004790
380,qualified,0.003984
380,unqualified,0.002357
380,ordered,0.005640
381,qualified,0.003525
381,unqualified,0.004717
381,ordered,0.005794
382,qualified,0.003847
382,unqualified,0.003095
382,ordered,0.005237
383,qualified,0.003146
383,unqualified,0.004028
383,ordered,0.004035
384,qualified,0.003005
384,unqualified,0.003190
384,ordered,0.005472
385,qualified,0.002860
385,unqualified,0.004088
385,ordered,0.003943
386,qualified,0.003063
386,unqualified,0.002897
386,ordered,0.004664
387,qualified,0.003997
387,unqualified,0.003002
387,ordered,0.004317
388,qualified,0.002810
388,unqualified,0.006016
388,ordered,0.007054
389,qualified,0.005069
389,unqualified,0.004191
389,ordered,0.005646
390,qualified,0.004987
390,unqualified,0.003003
390,ordered,0.006034
391,qualified,0.003340
391,unqualified,0.004531
391,ordered,0.006522
392,qualified,0.004198
392,unqualified,0.003958
392,ordered,0.007691
393,qualified,0.003345
393,unqualified,0.004869
393,ordered,0.007193
394,qualified,0.003989
394,unqualified,0.005003
394,ordered,0.006000
395,qualified,0.004315
395,unqualified,0.004538
395,ordered,0.006183
396,qualified,0.005317
396,unqualified,0.007608
396,ordered,0.005417
397,qualified,0.003037
397,unqualified,0.006527
397,ordered,0.005523
398,qualified,0.004001
398,unqualified,0.005000
398,ordered,0.006626
399,qualified,0.003851
399,unqualified,0.003625
399,ordered,0.005379
400,qualified,0.005227
400,unqualified,0.002851
400,ordered,0.009000
401,qualified,0.007698
401,unqualified,0.003267
401,ordered,0.007863
402,qualified,0.003761
402,unqualified,0.003735
402,ordered,0.008188
403,qualified,0.004531
403,unqualified,0.004012
403,ordered,0.007986
404,qualified,0.003001
404,unqualified,0.008001
404,ordered,0.005186
405,qualified,0.003752
405,unqualified,0.003596
405,ordered,0.007003
406,qualified,0.003000
406,unqualified,0.004999
406,ordered,0.004994
407,qualified,0.004999
407,unqualified,0.004540
407,ordered,0.005839
408,qualified,0.004519
408,unqualified,0.002008
408,ordered,0.003997
409,qualified,0.003794
409,unqualified,0.003272
409,ordered,0.005783
410,qualified,0.003445
410,unqualified,0.003374
410,ordered,0.005096
411,qualified,0.003693
411,unqualified,0.002773
411,ordered,0.004936
